symboling,normalized_losses,make,num_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_L_100km,highway_L_100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,8.703703704,13495,Low,FALSE,TRUE,TRUE,FALSE
3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,11.19047619,8.703703704,16500,Low,FALSE,TRUE,TRUE,FALSE
1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,0.876254181,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,12.36842105,9.038461538,16500,Medium,FALSE,TRUE,TRUE,FALSE
2,164,audi,four,sedan,fwd,front,99.8,0.848630466,0.919444444,0.908026756,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,9.791666667,7.833333333,13950,Low,FALSE,TRUE,TRUE,FALSE
2,164,audi,four,sedan,4wd,front,99.4,0.848630466,0.922222222,0.908026756,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,13.05555556,10.68181818,17450,Low,FALSE,TRUE,TRUE,FALSE
2,122,audi,two,sedan,fwd,front,99.8,0.851994234,0.920833333,0.887959866,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,15250,Low,FALSE,TRUE,TRUE,FALSE
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,17710,Low,FALSE,TRUE,TRUE,FALSE
1,122,audi,four,wagon,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.36842105,9.4,18920,Low,FALSE,TRUE,TRUE,FALSE
1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.934782609,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.82352941,11.75,23875,Medium,FALSE,TRUE,FALSE,TRUE
2,192,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,8.103448276,16430,Low,FALSE,TRUE,TRUE,FALSE
0,192,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.2173913,8.103448276,16925,Low,FALSE,TRUE,TRUE,FALSE
0,188,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,8.392857143,20970,Medium,FALSE,TRUE,TRUE,FALSE
0,188,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.19047619,8.392857143,21105,Medium,FALSE,TRUE,TRUE,FALSE
1,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,11.75,9.4,24565,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,10.68181818,30760,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,two,sedan,rwd,front,103.5,0.931283037,0.943055556,0.897993311,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,14.6875,10.68181818,41315,Medium,FALSE,TRUE,TRUE,FALSE
0,122,bmw,four,sedan,rwd,front,110,0.946660259,0.984722222,0.941471572,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15.66666667,11.75,36880,Medium,FALSE,TRUE,TRUE,FALSE
2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678039404,0.8375,0.889632107,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5,4.433962264,5151,Low,FALSE,TRUE,TRUE,FALSE
